Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
Chongqing,Mainland China,1/27/2020 9:00,110.0,,,1.0
Hunan,Mainland China,1/27/2020 9:00,100.0,,,
Shandong,Mainland China,1/27/2020 9:00,75.0,,,
Beijing,Mainland China,1/27/2020 9:00,72.0,,2.0,
Anhui,Mainland China,1/27/2020 9:00,70.0,,,
Sichuan,Mainland China,1/27/2020 9:00,69.0,,,
Fujian,Mainland China,1/27/2020 9:00,56.0,,,
Shanghai,Mainland China,1/27/2020 9:00,53.0,,3.0,1.0
Jiangxi,Mainland China,1/27/2020 9:00,48.0,,1.0,
Jiangsu,Mainland China,1/27/2020 9:00,47.0,,1.0,
Guangxi,Mainland China,1/27/2020 9:00,46.0,,,
Shaanxi,Mainland China,1/27/2020 9:00,35.0,,,
Hainan,Mainland China,1/27/2020 9:00,33.0,,,1.0
Liaoning,Mainland China,1/27/2020 9:00,27.0,,,
Yunnan,Mainland China,1/27/2020 9:00,26.0,,,
Tianjin,Mainland China,1/27/2020 9:00,22.0,,,
Heilongjiang,Mainland China,1/27/2020 9:00,21.0,,,1.0
Hebei,Mainland China,1/27/2020 9:00,18.0,,,1.0
Gansu,Mainland China,1/27/2020 9:00,14.0,,,
Shanxi,Mainland China,1/27/2020 9:00,13.0,,,
Inner Mongolia,Mainland China,1/27/2020 9:00,11.0,,,
Hong Kong,Hong Kong,1/27/2020 9:00,8.0,,,
Guizhou,Mainland China,1/27/2020 9:00,7.0,,,
Ningxia,Mainland China,1/27/2020 9:00,7.0,,,
Jilin,Mainland China,1/27/2020 9:00,6.0,,,
Macau,Macau,1/27/2020 9:00,6.0,,,
Taiwan,Taiwan,1/27/2020 9:00,5.0,,,
Xinjiang,Mainland China,1/27/2020 9:00,5.0,,,
Qinghai,Mainland China,1/27/2020 9:00,4.0,,,
Washington,United States,1/27/2020 9:00,1.0,,,
Illinois,United States,1/27/2020 9:00,1.0,,,
California,United States,1/27/2020 9:00,2.0,,,
Arizona,United States,1/27/2020 9:00,1.0,,,
,Japan,1/27/2020 9:00,4.0,,1.0,
,Thailand,1/27/2020 9:00,8.0,,2.0,
,South Korea,1/27/2020 9:00,4.0,,,
,Singapore,1/27/2020 9:00,4.0,,,
,Vietnam,1/27/2020 9:00,2.0,,,
,France,1/27/2020 9:00,3.0,,,
,Australia,1/27/2020 9:00,5.0,,,
,Nepal,1/27/2020 9:00,1.0,,,
,Malaysia,1/27/2020 9:00,4.0,,,
Ontario,Canada,1/27/2020 9:00,1.0,,,
,Cambodia,1/27/2020 9:00,1.0,,,
Hubei,Mainland China,1/26/2020 23:00,1423.0,,44.0,76.0
Guangdong,Mainland China,1/26/2020 23:00,146.0,,2.0,
Zhejiang,Mainland China,1/26/2020 23:00,128.0,,1.0,
Henan,Mainland China,1/26/2020 23:00,128.0,,,1.0
Chongqing,Mainland China,1/26/2020 23:00,110.0,,,
Hunan,Mainland China,1/26/2020 23:00,100.0,,,
Anhui,Mainland China,1/26/2020 23:00,70.0,,,
Sichuan,Mainland China,1/26/2020 23:00,69.0,,,
Beijing,Mainland China,1/26/2020 23:00,68.0,,2.0,
Shandong,Mainland China,1/26/2020 23:00,63.0,,,
Shanghai,Mainland China,1/26/2020 23:00,53.0,,1.0,1.0
Jiangxi,Mainland China,1/26/2020 23:00,48.0,,,
Jiangsu,Mainland China,1/26/2020 23:00,47.0,,1.0,
Guangxi,Mainland China,1/26/2020 23:00,46.0,,,
Fujian,Mainland China,1/26/2020 23:00,35.0,,,
Liaoning,Mainland China,1/26/2020 23:00,23.0,,,
Hainan,Mainland China,1/26/2020 23:00,22.0,,,
Shaanxi,Mainland China,1/26/2020 23:00,22.0,,,
Heilongjiang,Mainland China,1/26/2020 23:00,21.0,,,1.0
Yunnan,Mainland China,1/26/2020 23:00,19.0,,,
Hebei,Mainland China,1/26/2020 23:00,18.0,,,1.0
Tianjin,Mainland China,1/26/2020 23:00,14.0,,,
Gansu,Mainland China,1/26/2020 23:00,14.0,,,
Shanxi,Mainland China,1/26/2020 23:00,13.0,,,
Inner Mongolia,Mainland China,1/26/2020 23:00,11.0,,,
Hong Kong,Hong Kong,1/26/2020 23:00,8.0,,,
Guizhou,Mainland China,1/26/2020 23:00,7.0,,,
Jilin,Mainland China,1/26/2020 23:00,6.0,,,
Macau,Macau,1/26/2020 23:00,6.0,,,
Xinjiang,Mainland China,1/26/2020 23:00,5.0,,,
Ningxia,Mainland China,1/26/2020 23:00,4.0,,,
Taiwan,Taiwan,1/26/2020 23:00,4.0,,,
Qinghai,Mainland China,1/26/2020 23:00,4.0,,,
Washington,United States,1/26/2020 23:00,1.0,,,
Illinois,United States,1/26/2020 23:00,1.0,,,
California,United States,1/26/2020 23:00,2.0,,,
Arizona,United States,1/26/2020 23:00,1.0,,,
,Japan,1/26/2020 23:00,4.0,,1.0,
,Thailand,1/26/2020 23:00,8.0,,2.0,
,South Korea,1/26/2020 23:00,3.0,,,
,Singapore,1/26/2020 23:00,4.0,,,
,Vietnam,1/26/2020 23:00,2.0,,,
,France,1/26/2020 23:00,3.0,,,
,Australia,1/26/2020 23:00,4.0,,,
,Nepal,1/26/2020 23:00,1.0,,,
,Malaysia,1/26/2020 23:00,4.0,,,
Ontario,Canada,1/26/2020 23:00,1.0,,,
Hubei,Mainland China,1/26/2020 11:00 AM,1058.0,,42.0,52.0
Guangdong,Mainland China,1/26/2020 11:00 AM,111.0,,2.0,
Zhejiang,Mainland China,1/26/2020 11:00 AM,104.0,,1.0,
Henan,Mainland China,1/26/2020 11:00 AM,83.0,3.0,,1.0
Chongqing,Mainland China,1/26/2020 11:00 AM,75.0,,,
Hunan,Mainland China,1/26/2020 11:00 AM,69.0,,,
Beijing,Mainland China,1/26/2020 11:00 AM,68.0,,2.0,
Anhui,Mainland China,1/26/2020 11:00 AM,60.0,4.0,,
Shandong,Mainland China,1/26/2020 11:00 AM,46.0,,,
Sichuan,Mainland China,1/26/2020 11:00 AM,44.0,4.0,,
Shanghai,Mainland China,1/26/2020 11:00 AM,40.0,72.0,1.0,1.0
Guangxi,Mainland China,1/26/2020 11:00 AM,36.0,,,
Jiangxi,Mainland China,1/26/2020 11:00 AM,36.0,,,
Fujian,Mainland China,1/26/2020 11:00 AM,35.0,20.0,,
Jiangsu,Mainland China,1/26/2020 11:00 AM,33.0,,1.0,
Hainan,Mainland China,1/26/2020 11:00 AM,22.0,,,
Shaanxi,Mainland China,1/26/2020 11:00 AM,22.0,,,
Liaoning,Mainland China,1/26/2020 11:00 AM,21.0,,,
Yunnan,Mainland China,1/26/2020 11:00 AM,16.0,36.0,,
Heilongjiang,Mainland China,1/26/2020 11:00 AM,15.0,,,1.0
Tianjin,Mainland China,1/26/2020 11:00 AM,14.0,,,
Hebei,Mainland China,1/26/2020 11:00 AM,13.0,,,1.0
Shanxi,Mainland China,1/26/2020 11:00 AM,9.0,,,
Hong Kong,Hong Kong,1/26/2020 11:00 AM,8.0,244.0,,
Inner Mongolia,Mainland China,1/26/2020 11:00 AM,7.0,,,
Gansu,Mainland China,1/26/2020 11:00 AM,7.0,,,
Guizhou,Mainland China,1/26/2020 11:00 AM,5.0,,,
Macau,Macau,1/26/2020 11:00 AM,5.0,,,
Ningxia,Mainland China,1/26/2020 11:00 AM,4.0,,,
Jilin,Mainland China,1/26/2020 11:00 AM,4.0,,,
Taiwan,Taiwan,1/26/2020 11:00 AM,4.0,,,
Xinjiang,Mainland China,1/26/2020 11:00 AM,4.0,,,
Qinghai,Mainland China,1/26/2020 11:00 AM,1.0,,,
Washington,United States,1/26/2020 11:00 AM,1.0,,,
Illinois,United States,1/26/2020 11:00 AM,1.0,,,
California,United States,1/26/2020 11:00 AM,1.0,,,
,Japan,1/26/2020 11:00 AM,4.0,,1.0,
,Thailand,1/26/2020 11:00 AM,8.0,,2.0,
,South Korea,1/26/2020 11:00 AM,3.0,,,
,Singapore,1/26/2020 11:00 AM,4.0,,,
,Vietnam,1/26/2020 11:00 AM,2.0,,,
,France,1/26/2020 11:00 AM,3.0,,,
,Australia,1/26/2020 11:00 AM,4.0,,,
,Nepal,1/26/2020 11:00 AM,1.0,,,
,Malaysia,1/26/2020 11:00 AM,4.0,,,
Ontario,Canada,1/26/2020 11:00 AM,1.0,,,
Hubei,Mainland China,1/25/2020 10:00 PM,1052.0,,42.0,52.0
Zhejiang,Mainland China,1/25/2020 10:00 PM,104.0,,1.0,
Guangdong,Mainland China,1/25/2020 12:00 PM,98.0,,2.0,
Henan,Mainland China,1/25/2020 12:00 PM,83.0,3.0,,1.0
Chongqing,Mainland China,1/25/2020 12:00 PM,75.0,,,
Hunan,Mainland China,1/25/2020 12:00 PM,69.0,,,
Anhui,Mainland China,1/25/2020 12:00 PM,60.0,4.0,,
Beijing,Mainland China,1/25/2020 12:00 PM,51.0,,2.0,
Sichuan,Mainland China,1/25/2020 12:00 PM,44.0,4.0,,
Shanghai,Mainland China,1/25/2020 12:00 PM,40.0,72.0,1.0,1.0
Shandong,Mainland China,1/25/2020 12:00 PM,39.0,,,
Jiangxi,Mainland China,1/25/2020 12:00 PM,36.0,,,
Guangxi,Mainland China,1/25/2020 12:00 PM,33.0,,,
Jiangsu,Mainland China,1/25/2020 12:00 PM,31.0,,1.0,
Hainan,Mainland China,1/25/2020 12:00 PM,19.0,,,
Liaoning,Mainland China,1/25/2020 12:00 PM,19.0,,,
Fujian,Mainland China,1/25/2020 12:00 PM,18.0,20.0,,1.0
Heilongjiang,Mainland China,1/25/2020 12:00 PM,15.0,,,
Shaanxi,Mainland China,1/25/2020 12:00 PM,15.0,,,
Tianjin,Mainland China,1/25/2020 12:00 PM,13.0,,,
Hebei,Mainland China,1/25/2020 12:00 PM,13.0,,,1.0
Yunnan,Mainland China,1/25/2020 12:00 PM,11.0,58.0,,
Shanxi,Mainland China,1/25/2020 12:00 PM,9.0,,,
Inner Mongolia,Mainland China,1/25/2020 12:00 PM,7.0,,,
Gansu,Mainland China,1/25/2020 12:00 PM,7.0,,,
Guizhou,Mainland China,1/25/2020 12:00 PM,5.0,,,
Hong Kong,Hong Kong,1/25/2020 12:00 PM,5.0,244.0,,
Ningxia,Mainland China,1/25/2020 12:00 PM,4.0,1.0,,
Jilin,Mainland China,1/25/2020 12:00 PM,4.0,,,
Xinjiang,Mainland China,1/25/2020 12:00 PM,4.0,,,
Taiwan,Taiwan,1/25/2020 12:00 PM,3.0,,,
Macau,Macau,1/25/2020 12:00 PM,2.0,,,
Qinghai,Mainland China,1/25/2020 12:00 PM,1.0,,,
Washington,United States,1/25/2020 12:00 PM,1.0,,,
Illinois,United States,1/25/2020 12:00 PM,1.0,,,
,Japan,1/25/2020 12:00 PM,2.0,,,
,Thailand,1/25/2020 12:00 PM,7.0,,,
,South Korea,1/25/2020 12:00 PM,3.0,,,
,Singapore,1/25/2020 12:00 PM,3.0,,,
,Vietnam,1/25/2020 12:00 PM,2.0,,,
,France,1/25/2020 12:00 PM,3.0,,,
,Australia,1/25/2020 12:00 PM,4.0,,,
,Nepal,1/25/2020 12:00 PM,1.0,,,
,Malaysia,1/25/2020 12:00 PM,3.0,,,
Hubei,Mainland China,1/25/2020 12:00 PM,761.0,,32.0,40.0
Guangdong,Mainland China,1/25/2020 12:00 PM,78.0,,2.0,
Zhejiang,Mainland China,1/25/2020 12:00 PM,62.0,,1.0,
Chongqing,Mainland China,1/25/2020 12:00 PM,57.0,,,
Hunan,Mainland China,1/25/2020 12:00 PM,43.0,,,
Beijing,Mainland China,1/25/2020 12:00 PM,41.0,,2.0,
Anhui,Mainland China,1/25/2020 12:00 PM,39.0,4.0,,
Shanghai,Mainland China,1/25/2020 12:00 PM,33.0,72.0,1.0,
Henan,Mainland China,1/25/2020 12:00 PM,32.0,1.0,,
Sichuan,Mainland China,1/25/2020 12:00 PM,28.0,4.0,,
Shandong,Mainland China,1/25/2020 12:00 PM,27.0,,,
Guangxi,Mainland China,1/25/2020 12:00 PM,23.0,,,
Hainan,Mainland China,1/25/2020 12:00 PM,19.0,,,
Jiangxi,Mainland China,1/25/2020 12:00 PM,18.0,,,
Fujian,Mainland China,1/25/2020 12:00 PM,18.0,20.0,,
Jiangsu,Mainland China,1/25/2020 12:00 PM,18.0,,1.0,
Liaoning,Mainland China,1/25/2020 12:00 PM,17.0,,,
Shaanxi,Mainland China,1/25/2020 12:00 PM,15.0,,,
Yunnan,Mainland China,1/25/2020 12:00 PM,11.0,58.0,,
Tianjin,Mainland China,1/25/2020 12:00 PM,10.0,,,
Heilongjiang,Mainland China,1/25/2020 12:00 PM,9.0,,,1.0
Hebei,Mainland China,1/25/2020 12:00 PM,8.0,,,1.0
Inner Mongolia,Mainland China,1/25/2020 12:00 PM,7.0,,,
Shanxi,Mainland China,1/25/2020 12:00 PM,6.0,,,
Hong Kong,Hong Kong,1/25/2020 12:00 PM,5.0,244.0,,
Guizhou,Mainland China,1/25/2020 12:00 PM,4.0,,,
Jilin,Mainland China,1/25/2020 12:00 PM,4.0,,,
Gansu,Mainland China,1/25/2020 12:00 PM,4.0,,,
Ningxia,Mainland China,1/25/2020 12:00 PM,3.0,1.0,,
Taiwan,Taiwan,1/25/2020 12:00 PM,3.0,,,
Xinjiang,Mainland China,1/25/2020 12:00 PM,3.0,,,
Macau,Macau,1/25/2020 12:00 PM,2.0,,,
Qinghai,Mainland China,1/25/2020 12:00 PM,1.0,,,
Washington,United States,1/25/2020 12:00 PM,1.0,,,
Illinois,United States,1/25/2020 12:00 PM,1.0,,,
,Japan,1/25/2020 12:00 PM,2.0,,,
,Thailand,1/25/2020 12:00 PM,7.0,,,
,South Korea,1/25/2020 12:00 PM,2.0,,,
,Singapore,1/25/2020 12:00 PM,3.0,,,
,Vietnam,1/25/2020 12:00 PM,2.0,,,
,France,1/25/2020 12:00 PM,3.0,,,
,Australia,1/25/2020 12:00 PM,4.0,,,
,Nepal,1/25/2020 12:00 PM,1.0,,,
,Malaysia,1/25/2020 12:00 PM,3.0,,,
Hubei,Mainland China,1/25/2020 12:00 AM,729.0,,32.0,39.0
Guangdong,Mainland China,1/25/2020 12:00 AM,78.0,,2.0,
Zhejiang,Mainland China,1/25/2020 12:00 AM,62.0,,1.0,
Chongqing,Mainland China,1/25/2020 12:00 AM,57.0,,,
Hunan,Mainland China,1/25/2020 12:00 AM,43.0,,,
Anhui,Mainland China,1/25/2020 12:00 AM,39.0,4.0,,
Beijing,Mainland China,1/25/2020 12:00 AM,36.0,,1.0,
Shanghai,Mainland China,1/25/2020 12:00 AM,33.0,22.0,1.0,
Henan,Mainland China,1/25/2020 12:00 AM,32.0,1.0,,
Sichuan,Mainland China,1/25/2020 12:00 AM,28.0,4.0,,
Guangxi,Mainland China,1/25/2020 12:00 AM,23.0,,,
Shandong,Mainland China,1/25/2020 12:00 AM,21.0,,,
Jiangxi,Mainland China,1/25/2020 12:00 AM,18.0,,,
Jiangsu,Mainland China,1/25/2020 12:00 AM,18.0,,1.0,
Hainan,Mainland China,1/25/2020 12:00 AM,17.0,,,
Liaoning,Mainland China,1/25/2020 12:00 AM,15.0,,,
Fujian,Mainland China,1/25/2020 12:00 AM,10.0,4.0,,
Heilongjiang,Mainland China,1/25/2020 12:00 AM,9.0,,,1.0
Tianjin,Mainland China,1/25/2020 12:00 AM,8.0,,,
Hebei,Mainland China,1/25/2020 12:00 AM,8.0,,,1.0
Shanxi,Mainland China,1/25/2020 12:00 AM,6.0,,,
Yunnan,Mainland China,1/25/2020 12:00 AM,5.0,,,
Hong Kong,Hong Kong,1/25/2020 12:00 AM,5.0,36.0,,
Shaanxi,Mainland China,1/25/2020 12:00 AM,5.0,,,
Guizhou,Mainland China,1/25/2020 12:00 AM,4.0,,,
Jilin,Mainland China,1/25/2020 12:00 AM,4.0,,,
Gansu,Mainland China,1/25/2020 12:00 AM,4.0,,,
Ningxia,Mainland China,1/25/2020 12:00 AM,3.0,1.0,,
Taiwan,Taiwan,1/25/2020 12:00 AM,3.0,,,
Xinjiang,Mainland China,1/25/2020 12:00 AM,3.0,,,
Macau,Macau,1/25/2020 12:00 AM,2.0,,,
Inner Mongolia,Mainland China,1/25/2020 12:00 AM,2.0,,,
Qinghai,Mainland China,1/25/2020 12:00 AM,,1.0,,
Washington,United States,1/25/2020 12:00 AM,1.0,,,
Illinois,United States,1/25/2020 12:00 AM,1.0,,,
,Japan,1/25/2020 12:00 AM,2.0,,,
,Thailand,1/25/2020 12:00 AM,5.0,,,
,South Korea,1/25/2020 12:00 AM,2.0,,,
,Singapore,1/25/2020 12:00 AM,3.0,,,
,Vietnam,1/25/2020 12:00 AM,2.0,,,
,France,1/25/2020 12:00 AM,3.0,,,
,Australia,1/25/2020 12:00 AM,1.0,,,
,Nepal,1/25/2020 12:00 AM,1.0,,,
,Malaysia,1/25/2020 12:00 AM,3.0,,,
Hubei,Mainland China,1/24/2020 12:00 PM,549.0,,31.0,24.0
Guangdong,Mainland China,1/24/2020 12:00 PM,53.0,,2.0,
Zhejiang,Mainland China,1/24/2020 12:00 PM,43.0,,1.0,
Beijing,Mainland China,1/24/2020 12:00 PM,36.0,,1.0,
Chongqing,Mainland China,1/24/2020 12:00 PM,27.0,13.0,,
Hunan,Mainland China,1/24/2020 12:00 PM,24.0,,,
Guangxi,Mainland China,1/24/2020 12:00 PM,23.0,,,
Shanghai,Mainland China,1/24/2020 12:00 PM,20.0,22.0,1.0,
Jiangxi,Mainland China,1/24/2020 12:00 PM,18.0,,,
Sichuan,Mainland China,1/24/2020 12:00 PM,15.0,4.0,,
Shandong,Mainland China,1/24/2020 12:00 PM,15.0,,,
Anhui,Mainland China,1/24/2020 12:00 PM,15.0,4.0,,
Fujian,Mainland China,1/24/2020 12:00 PM,10.0,2.0,,
Henan,Mainland China,1/24/2020 12:00 PM,9.0,42.0,,
Jiangsu,Mainland China,1/24/2020 12:00 PM,9.0,,,
Hainan,Mainland China,1/24/2020 12:00 PM,8.0,32.0,,
Tianjin,Mainland China,1/24/2020 12:00 PM,8.0,,,
Yunnan,Mainland China,1/24/2020 12:00 PM,5.0,,,
Shaanxi,Mainland China,1/24/2020 12:00 PM,5.0,,,
Heilongjiang,Mainland China,1/24/2020 12:00 PM,4.0,,,1.0
Liaoning,Mainland China,1/24/2020 12:00 PM,4.0,,,
Guizhou,Mainland China,1/24/2020 12:00 PM,3.0,,,
Jilin,Mainland China,1/24/2020 12:00 PM,3.0,,,
Taiwan,Taiwan,1/24/2020 12:00 PM,3.0,,,
Ningxia,Mainland China,1/24/2020 12:00 PM,2.0,1.0,,
Hong Kong,Hong Kong,1/24/2020 12:00 PM,2.0,36.0,,
Macau,Macau,1/24/2020 12:00 PM,2.0,,,
Hebei,Mainland China,1/24/2020 12:00 PM,2.0,,,1.0
Gansu,Mainland China,1/24/2020 12:00 PM,2.0,,,
Xinjiang,Mainland China,1/24/2020 12:00 PM,2.0,,,
Shanxi,Mainland China,1/24/2020 12:00 PM,1.0,,,
Inner Mongolia,Mainland China,1/24/2020 12:00 PM,1.0,2.0,,
Qinghai,Mainland China,1/24/2020 12:00 PM,,1.0,,
Washington,United States,1/24/2020 12:00 PM,1.0,,,
Chicago,United States,1/24/2020 12:00 PM,1.0,,,
,Japan,1/24/2020 12:00 PM,2.0,,,
,Thailand,1/24/2020 12:00 PM,5.0,,,
,South Korea,1/24/2020 12:00 PM,2.0,,,
,Singapore,1/24/2020 12:00 PM,3.0,,,
,Vietnam,1/24/2020 12:00 PM,2.0,,,
,France,1/24/2020 4:00 PM,2.0,,,
Hubei,Mainland China,1/24/2020 12:00 AM,549.0,,31.0,24.0
Guangdong,Mainland China,1/24/2020 12:00 AM,53.0,,2.0,
Zhejiang,Mainland China,1/24/2020 12:00 AM,43.0,,1.0,
Beijing,Mainland China,1/24/2020 12:00 AM,26.0,22.0,,
Shanghai,Mainland China,1/24/2020 12:00 AM,20.0,,,
Hunan,Mainland China,1/24/2020 12:00 AM,24.0,,,
Anhui,Mainland China,1/24/2020 12:00 AM,15.0,4.0,,
Chongqing,Mainland China,1/24/2020 12:00 AM,27.0,13.0,,
Sichuan,Mainland China,1/24/2020 12:00 AM,15.0,4.0,,
Shandong,Mainland China,1/24/2020 12:00 AM,9.0,,,
Guangxi,Mainland China,1/24/2020 12:00 AM,13.0,,,
Fujian,Mainland China,1/24/2020 12:00 AM,5.0,2.0,,
Jiangsu,Mainland China,1/24/2020 12:00 AM,9.0,,,
Henan,Mainland China,1/24/2020 12:00 AM,9.0,,,
Hainan,Mainland China,1/24/2020 12:00 AM,8.0,32.0,,
Tianjin,Mainland China,1/24/2020 12:00 AM,5.0,,,
Jiangxi,Mainland China,1/24/2020 12:00 AM,7.0,,,
Shaanxi,Mainland China,1/24/2020 12:00 AM,3.0,,,
Guizhou,Mainland China,1/24/2020 12:00 AM,3.0,,,
Liaoning,Mainland China,1/24/2020 12:00 AM,4.0,,,
Hong Kong,Hong Kong,1/24/2020 12:00 AM,2.0,36.0,,
Heilongjiang,Mainland China,1/24/2020 12:00 AM,4.0,,,1.0
Macau,Macau,1/24/2020 12:00 AM,2.0,,,
Xinjiang,Mainland China,1/24/2020 12:00 AM,2.0,,,
Gansu,Mainland China,1/24/2020 12:00 AM,2.0,,,
Yunnan,Mainland China,1/24/2020 12:00 AM,2.0,,,
Taiwan,Taiwan,1/24/2020 12:00 AM,1.0,,,
Shanxi,Mainland China,1/24/2020 12:00 AM,1.0,,,
Jilin,Mainland China,1/24/2020 12:00 AM,3.0,,,
